# WeaponSoundEnhance 动作 ID 库（基础库）
# schema: weapon,fsm,lmt,name  —— 结构固定不变；解析时会忽略多余列、容忍缺列
# weapon 0..13: 大剑/片手/双刀/太刀/大锤/笛子/长枪/铳枪/斩斧/盾斧/虫棍/弓箭/轻弩/重弩；-1=通用
# fsm 或 lmt 未知时写 -1；name 不要包含英文逗号
#
# 本文件 = 随包/下载的“基础库”，可被「获取最新库」整体更新（只追加行，不改结构）。
# 你自己的实测/导入请放 fsm_db_user.csv：优先级更高，且任何更新都不会覆盖它。
# 贡献流程：GUI 工具栏「上传ID」→ 导出实测ID / 提交到共享库。
3,7,49267,拔刀
3,11,49265,气刃斩1
3,11,49256,气刃斩1(起手帧)
3,12,-1,气刃斩1(判定帧)
3,67,49258,气刃斩2
3,68,49260,气刃斩3
3,69,49261,气刃斩4
3,70,-1,逆袈裟
3,86,-1,见切
3,87,-1,气刃突刺开始
3,89,-1,突刺命中
3,90,-1,登龙飞天
3,92,-1,气刃兜割
3,99,-1,纳刀
3,101,-1,小居
3,102,-1,大居
3,326,-1,猫车
3,532,-1,磨刀
3,42,-1,软化
3,-1,49326,登龙 (气刃兜割) —— 三个刃色共用
3,-1,49461,大居 (居合抜刀气刃斩) · 白刃
3,-1,49462,大居 (居合抜刀气刃斩) · 黄刃
3,-1,49463,大居 (居合抜刀气刃斩) · 红刃
3,-1,49322,气刃突刺
3,-1,49458,特殊纳刀
0,-1,49298,真蓄 1 蓄 · 第一段
0,-1,49341,真蓄 2 蓄 · 第一段
0,-1,49342,真蓄 3 蓄 · 第一段
0,-1,49427,真蓄 1 蓄 · 第二段 (大伤害)
0,-1,49428,真蓄 2 蓄 · 第二段 (大伤害)
0,-1,49429,真蓄 3 蓄 · 第二段 (大伤害)
0,-1,49307,强蓄斩 1 蓄
0,-1,49308,强蓄斩 2 蓄
0,-1,49309,强蓄斩 3 蓄
0,-1,49280,一蓄斩 (起手第一刀)
0,-1,49283,抜刀 (起手)
0,-1,49256,抜刀
0,-1,49344,铁山靠
0,-1,49458,强化射击
0,-1,49459,强化射击
0,-1,49460,强化射击
0,-1,49398,真蓄前置过渡
0,-1,49433,蓄力 · 第一阶段
0,-1,49436,蓄力 · 第二阶段
0,-1,49439,蓄力 · 第三阶段 (必接真蓄)
0,-1,49402,蓄力 / 过渡
0,-1,49403,蓄力 / 过渡
0,-1,49412,蓄力 / 过渡
0,-1,49413,蓄力 / 过渡
0,-1,49511,蓄力 / 过渡
